Date,State,Region,Confirmed,Deaths,Recovered
4/29/2020,,Afghanistan,1939,60,252
4/29/2020,,Albania,766,30,455
4/29/2020,,Algeria,3848,444,1702
4/29/2020,,Andorra,743,42,423
4/29/2020,,Angola,27,2,7
4/29/2020,,Antigua and Barbuda,24,3,11
4/29/2020,,Argentina,4285,214,1192
4/29/2020,,Armenia,1932,30,900
4/29/2020,,Austria,15402,580,12779
4/29/2020,,Azerbaijan,1766,23,1267
4/29/2020,,Bahamas,80,11,23
4/29/2020,,Bahrain,2921,8,1455
4/29/2020,,Bangladesh,7103,163,150
4/29/2020,,Barbados,80,7,39
4/29/2020,,Belarus,13181,84,2072
4/29/2020,,Belgium,47859,7501,11283
4/29/2020,,Belize,18,2,9
4/29/2020,,Benin,64,1,33
4/29/2020,,Bhutan,7,0,5
4/29/2020,,Bolivia,1110,59,117
4/29/2020,,Bosnia and Herzegovina,1677,65,710
4/29/2020,,Botswana,23,1,5
4/29/2020,,Brazil,79685,5513,34132
4/29/2020,,Brunei,138,1,124
4/29/2020,,Bulgaria,1447,64,243
4/29/2020,,Burkina Faso,641,43,498
4/29/2020,,Burma,150,6,27
4/29/2020,,Burundi,11,1,4
4/29/2020,,Cabo Verde,114,1,2
4/29/2020,,Cambodia,122,0,119
4/29/2020,,Cameroon,1832,61,934
4/29/2020,,Central African Republic,50,0,10
4/29/2020,,Chad,52,2,19
4/29/2020,,Chile,14885,216,8057
4/29/2020,,Colombia,6207,278,1411
4/29/2020,,Congo (Brazzaville),207,8,19
4/29/2020,,Congo (Kinshasa),491,30,59
4/29/2020,,Costa Rica,713,6,323
4/29/2020,,Croatia,2062,67,1288
4/29/2020,,Cuba,1467,58,617
4/29/2020,,Cyprus,843,15,148
4/29/2020,,Czech Republic,7579,227,3108
4/29/2020,,Denmark,9008,443,6366
4/29/2020,,Diamond Princess,712,13,645
4/29/2020,,Djibouti,1077,2,599
4/29/2020,,Dominica,16,0,13
4/29/2020,,Dominican Republic,6652,293,1228
4/29/2020,,Ecuador,24675,883,1557
4/29/2020,,Egypt,5268,380,1335
4/29/2020,,El Salvador,377,9,106
4/29/2020,,Equatorial Guinea,315,1,9
4/29/2020,,Eritrea,39,0,19
4/29/2020,,Estonia,1666,50,236
4/29/2020,,Eswatini,91,1,10
4/29/2020,,Ethiopia,130,3,58
4/29/2020,,Fiji,18,0,12
4/29/2020,,Finland,4906,206,2800
4/29/2020,,France,165093,24087,48228
4/29/2020,,Gabon,276,3,67
4/29/2020,,Gambia,10,1,8
4/29/2020,,Georgia,517,6,178
4/29/2020,,Germany,161539,6467,120400
4/29/2020,,Ghana,1671,16,188
4/29/2020,,Greece,2576,139,577
4/29/2020,,Grenada,20,0,13
4/29/2020,,Guatemala,557,16,62
4/29/2020,,Guinea,1351,7,313
4/29/2020,,Guinea-Bissau,205,1,19
4/29/2020,,Guyana,78,8,18
4/29/2020,,Haiti,76,6,8
4/29/2020,,Holy See,10,0,2
4/29/2020,,Honduras,738,66,73
4/29/2020,,Hungary,2727,300,536
4/29/2020,,Iceland,1797,10,1656
4/29/2020,,India,33062,1079,8437
4/29/2020,,Indonesia,9771,784,1391
4/29/2020,,Iran,93657,5957,73791
4/29/2020,,Iraq,2003,92,1346
4/29/2020,,Ireland,20253,1190,13386
4/29/2020,,Israel,15834,215,8233
4/29/2020,,Italy,203591,27682,71252
4/29/2020,,Ivory Coast,1238,14,557
4/29/2020,,Jamaica,396,7,29
4/29/2020,,Japan,13895,413,2368
4/29/2020,,Jordan,451,8,356
4/29/2020,,Kazakhstan,3138,25,819
4/29/2020,,Kenya,384,15,129
4/29/2020,,Kosovo,510,12,93
4/29/2020,,Kuwait,3740,24,1389
4/29/2020,,Kyrgyzstan,729,8,437
4/29/2020,,Laos,19,0,7
4/29/2020,,Latvia,849,15,348
4/29/2020,,Lebanon,721,24,150
4/29/2020,,Liberia,141,16,45
4/29/2020,,Libya,61,2,18
4/29/2020,,Liechtenstein,82,1,55
4/29/2020,,Lithuania,1375,45,563
4/29/2020,,Luxembourg,3769,89,3134
4/29/2020,,MS Zaandam,9,2,0
4/29/2020,,Madagascar,128,0,90
4/29/2020,,Malawi,36,3,7
4/29/2020,,Malaysia,5945,100,4087
4/29/2020,,Maldives,278,1,17
4/29/2020,,Mali,482,25,129
4/29/2020,,Malta,463,4,339
4/29/2020,,Mauritania,8,1,6
4/29/2020,,Mauritius,332,10,306
4/29/2020,,Mexico,17799,1732,11423
4/29/2020,,Moldova,3771,111,1114
4/29/2020,,Monaco,95,4,58
4/29/2020,,Mongolia,38,0,10
4/29/2020,,Montenegro,322,7,203
4/29/2020,,Morocco,4321,168,928
4/29/2020,,Mozambique,76,0,12
4/29/2020,,Namibia,16,0,8
4/29/2020,,Nepal,57,0,16
4/29/2020,,Netherlands,38802,4711,0
4/29/2020,,New Zealand,1476,19,1241
4/29/2020,,Nicaragua,13,3,7
4/29/2020,,Niger,713,32,435
4/29/2020,,Nigeria,1728,51,307
4/29/2020,,North Macedonia,1442,73,627
4/29/2020,,Norway,7710,207,32
4/29/2020,,Oman,2274,10,364
4/29/2020,,Pakistan,15525,343,3425
4/29/2020,,Panama,6378,178,527
4/29/2020,,Papua New Guinea,8,0,0
4/29/2020,,Paraguay,239,9,102
4/29/2020,,Peru,33931,943,10037
4/29/2020,,Philippines,8212,558,1023
4/29/2020,,Poland,12640,624,3025
4/29/2020,,Portugal,24505,973,1470
4/29/2020,,Qatar,12564,10,1243
4/29/2020,,Romania,11978,693,3569
4/29/2020,,Russia,99399,972,10286
4/29/2020,,Rwanda,225,0,98
4/29/2020,,Saint Kitts and Nevis,15,0,4
4/29/2020,,Saint Lucia,17,0,15
4/29/2020,,Saint Vincent and the Grenadines,16,0,8
4/29/2020,,San Marino,563,41,69
4/29/2020,,Sao Tome and Principe,8,0,4
4/29/2020,,Saudi Arabia,21402,157,2953
4/29/2020,,Senegal,882,9,315
4/29/2020,,Serbia,6630,125,870
4/29/2020,,Seychelles,11,0,6
4/29/2020,,Sierra Leone,104,4,12
4/29/2020,,Singapore,15641,14,1188
4/29/2020,,Slovakia,1391,22,484
4/29/2020,,Slovenia,1418,89,230
4/29/2020,,Somalia,582,28,20
4/29/2020,,South Africa,5350,103,2073
4/29/2020,,South Korea,10765,247,9059
4/29/2020,,South Sudan,34,0,0
4/29/2020,,Spain,236899,24275,132929
4/29/2020,,Sri Lanka,649,7,136
4/29/2020,,Sudan,375,28,32
4/29/2020,,Suriname,10,1,8
4/29/2020,,Sweden,20302,2462,1005
4/29/2020,,Switzerland,29407,1716,22600
4/29/2020,,Syria,43,3,21
4/29/2020,,Taiwan,429,6,311
4/29/2020,,Tanzania,480,16,167
4/29/2020,,Thailand,2947,54,2665
4/29/2020,,Timor-Leste,24,0,6
4/29/2020,,Togo,109,7,64
4/29/2020,,Trinidad and Tobago,116,8,71
4/29/2020,,Tunisia,980,40,294
4/29/2020,,Turkey,117589,3081,44040
